Activity,Key,Value,Experience,Activity_type,Audience,Time,Season
Sauna,amenity,sauna,relaxation,indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Social Centre,amenity,social_centre,"family-friendly, relaxation","indoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Theatre,amenity,theatre,"romantic, family-friendly, relaxation","indoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Mural,artwork_type,mural,cultural,"outdoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Sculpture,artwork_type,sculpture,cultural,"outdoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Statue,artwork_type,statue,cultural,"outdoor, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
National Park,boundary,national_park,"romantic, family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Cathedral,building,cathedral,"cultural, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Chapel,building,chapel,"cultural, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Church,building,church,"cultural, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Stadium,building,stadium,family-friendly,"outdoor, sports","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Synagogue,building,synagogue,"cultural, educational",indoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Brewery,craft,brewery,"cultural, educational",indoor,"couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Distillery,craft,distillery,"cultural, educational",indoor,"couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Winery,craft,winery,"cultural, educational",indoor,"couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Path,highway,path,"romantic, family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","spring, autumn"
Track,highway,track,family-friendly,"sports, outdoor","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Trail,highway,trail,"romantic, family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Archaeological Site,historic,archaeological_site,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Battlefield,historic,battlefield,r,outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Historic Building,historic,building,"family-friendly, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Castle,historic,castle,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Manor,historic,manor,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Memorial,historic,memorial,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Mine,historic,mine,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Monument,historic,monument,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Ruin,historic,ruins,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Wreck,historic,wreck,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Meadow,landuse,meadow,"family-friendly, adventure, educational",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Recreation Ground,landuse,recreation_ground,"family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Reservoir,landuse,reservoir,"family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Vineyard,landuse,vineyard,"family-friendly, adventure",outdoor,"families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Bowling Alley,leisure,bowling_alley,"romantic, family-friendly, relaxation","indoor, sports, entertainment","families, couples, groups, solo","evening, night, afternoon, morning","summer, winter, spring, autumn"
Beach Resort,leisure,beach_resort,"romantic, family-friendly, relaxation",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Fishing Area,leisure,fishing,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Garden,leisure,garden,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Golf Course,leisure,golf_course,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Equestrian Center,leisure,horse_riding,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Ice Rink,leisure,ice_rink,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Marina,leisure,marina,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Miniature Golf,leisure,miniature_golf,"romantic, family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Nature Reserve,leisure,nature_reserve,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Park,leisure,park,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Sports Pitch,leisure,pitch,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Playground,leisure,playground,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Recreation Ground,leisure,recreation_ground,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Sports Centre,leisure,sports_centre,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Stadium,leisure,stadium,family-friendly,"outdoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Swimming Pool,leisure,swimming_pool,"family-friendly, relaxation","indoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Running Track,leisure,track,family-friendly,"outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Water Park,leisure,water_park,"family-friendly, relaxation","indoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Statue,memorial,statue,cultural,"outdoor, entertainment","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn, winter"
War Memorial,memorial,war_memorial,cultural,"outdoor, entertainment","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn, winter"
Bay,natural,bay,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Beach,natural,beach,"family-friendly, relaxation","outdoor, sports","couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Cape,natural,cape,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Cave Entrance,natural,cave_entrance,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Cliff,natural,cliff,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Coastline,natural,coastline,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Reef,natural,reef,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Spring,natural,spring,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Valley,natural,valley,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Volcano,natural,volcano,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Island,place,island,"family-friendly, adventure",outdoor,"families, groups, solo, couples","morning, afternoon, evening, night","summer, spring, autumn"
Art Shop,shop,art,"romantic, family-friendly, cultural","shopping, indoor","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Bakery,shop,bakery,"romantic, family-friendly, cultural","shopping, indoor","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Mall,shop,mall,"romantic, family-friendly, cultural","shopping, indoor","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Massage Shop,shop,massage,relaxation,indoor,"couples, solo, groups","morning, afternoon, evening","summer, spring, autumn, winter"
Salon,shop,salon,relaxation,indoor,"couples, solo, groups","morning, afternoon, evening","summer, spring, autumn, winter"
Shopping Centre,shop,shopping_centre,"family-friendly, cultural","shopping, indoor","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Sports Shop,shop,sports,"family-friendly, cultural","shopping, indoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Tattoo Studio,shop,tattoo,relaxation,"shopping, indoor","couples, solo, groups","morning, afternoon, evening","summer, spring, autumn, winter"
Toy Shop,shop,toys,"family-friendly, cultural","shopping, indoor, sports","couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Aquarium,tourism,aquarium,"romantic, family-friendly, adventure, relaxation, educational",indoor,"couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Attraction,tourism,attraction,"romantic, family-friendly, adventure, relaxation, educational",indoor,"couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn, winter"
Camp Site,tourism,camp_site,"family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Picnic Site,tourism,picnic_site,"romantic, family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Theme Park,tourism,theme_park,"romantic, family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Viewpoint,tourism,viewpoint,"romantic, family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Zoo,tourism,zoo,"romantic, family-friendly, adventure, relaxation, educational",outdoor,"couples, families, groups, solo","morning, afternoon, evening","summer, spring, autumn"
Waterfall,waterway,waterfall,"romantic, family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn"
Lighthouse,man_made,lighthouse,"romantic, family-friendly, adventure",outdoor,"couples, families, groups, solo","morning, afternoon, evening, night","summer, spring, autumn, winter"
