Prompt,Completion
Where can I find romantic dinner spots with ambiance?,"restaurant,vineyard,brewery,cafe,marketplace"
What are some adventurous water-based activities?,"reef,zip_line,waterfall,beach"
I'm planning a cultural tour. Any suggestions?,"arts_centre,theatre,cathedral,mural"
Where can I take my kids for a mix of fun and learning?,"zoo,planetarium,aquarium,science_centre,garden"
Are there any peaceful spots for birdwatching?,"nature_reserve,park,lake,meadow,cliff"
What are some good group activities for a weekend?,"miniature_golf,brewery,trail,bbq,theme_park"
Can you suggest places to explore local craftsmanship?,"marketplace,arts_centre,sculpture,gallery"
I'm looking for fun spots near a beach resort.,"beach,bay,marina,water_park,restaurant"
Where can I take my kids for a mix of education and fun?,"aquarium,zoo,planetarium,playground,library"
Can you suggest historical locations to explore?,"castle,archaeological_site,ruins,battlefield,monument"
What are some scenic places for a coastal walk?,"coastline,cliff,viewpoint,beach,lighthouse"
Where can I enjoy water-based activities with great views?,"bay,beach,marina,waterfall,reef"
I'm looking for romantic spots to visit.,"vineyard,castle,cathedral,beach_resort,garden"
What are good family-friendly outdoor activities?,"park,picnic_site,playground,trail,nature_reserve"
Are there peaceful places for a solo day out?,"memorial,chapel,garden,library,meadow"
Can you recommend fun group activities?,"karaoke_box,cinema,theme_park,brewery,miniature_golf"
What are some good options for relaxation near nature?,"spa,massage,sauna,nature_reserve,meadow"
Where can I enjoy both food and local culture?,"marketplace,bakery,biergarten,restaurant,arts_centre"
Places to play soccer near me?,"national_park,park,pitch,sports_centre,community_centre"
Places to play basketball near me?,"sports_centre,community_centre"
Is there any place to swim near me?,"swimming_pool,water_park,beach,cape,bay,spring,reef,waterfall,beach_resort"
Where is a good place to run?,"trail,path,track,gym,national_park,sports_centre"
